issue_id,title,status,priority,assignee,created_at,resolved_at,description
HD0086,Issue 86,Open,High,David,2025-01-04,,API endpoint failure
ID0087,Issue 87,Closed,Low,Charlie,2025-04-06,2025-04-09,New feature request for advanced filters
JD0088,Issue 88,Closed,High,Eve,2025-02-22,2025-02-26,Feature request to integrate with social media
KD0089,Issue 89,In Progress,High,Charlie,2025-03-20,,Missing translation in the app
LD0090,Issue 90,Closed,High,David,2025-01-05,2025-01-14,Feature request for new dashboard
MD0091,Issue 91,Open,Low,Charlie,2025-04-10,,UI issue with the sidebar layout
ND0092,Issue 92,Closed,High,Alice,2025-02-04,2025-02-08,Missing data in the analytics report
OD0093,Issue 93,Closed,Medium,Alice,2025-01-08,2025-01-10,Feature request for dark mode
PD0094,Issue 94,In Progress,Medium,Eve,2025-02-06,,Missing data in the analytics report
QD0095,Issue 95,Closed,Medium,Charlie,2025-04-02,2025-04-03,Need to update the FAQ section
RD0096,Issue 96,Open,Low,David,2025-02-17,,API endpoint failure
SD0097,Issue 97,Open,Low,Charlie,2025-04-13,,Bug in checkout process
TD0098,Issue 98,Open,High,David,2025-02-05,,Crash when submitting a form
UD0099,Issue 99,In Progress,High,Charlie,2025-02-11,,Slow page load times
VD0100,Issue 100,Closed,High,Charlie,2025-01-19,2025-01-20,New feature request for advanced filters
